Year,Player,Team,Salary
2020,Stephen Curry,"$40,231,758",49346703.0
2020,Russell Westbrook,"$38,506,482",47230546.0
2020,Chris Paul,"$38,506,482",47230546.0
2020,James Harden,"$38,199,000",46853401.0
2020,John Wall,"$38,199,000",46853401.0
2020,LeBron James,"$37,436,858",45918587.0
2020,Kevin Durant,"$37,199,000",45626840.0
2020,Blake Griffin,"$34,449,964",42254980.0
2020,Kyle Lowry,"$33,296,296",40839936.0
2020,Paul George,"$33,005,556",40483325.0
2020,Kemba Walker,"$32,742,000",40160058.0
2020,Klay Thompson,"$32,742,000",40160058.0
2020,Kawhi Leonard,"$32,742,000",40160058.0
2020,Jimmy Butler,"$32,742,000",40160058.0
2020,Tobias Harris,"$32,742,000",40160058.0
2020,Gordon Hayward,"$32,700,690",40109389.0
2020,Mike Conley,"$32,511,623",39877487.0
2020,Kyrie Irving,"$31,742,000",38933497.0
2020,Khris Middleton,"$30,603,448",37536994.0
2020,Paul Millsap,"$30,350,000",37226124.0
2020,Damian Lillard,"$29,802,321",36554362.0
2020,Kevin Love,"$28,942,830",35500144.0
2020,Nikola Vucevic,"$28,000,000",34343706.0
2020,Al Horford,"$28,000,000",34343706.0
2020,DeMar DeRozan,"$27,739,975",34024769.0
2020,CJ McCollum,"$27,556,959",33800289.0
2020,Nikola Jokic,"$27,504,630",33736104.0
2020,Andrew Wiggins,"$27,504,630",33736104.0
2020,Joel Embiid,"$27,504,630",33736104.0
2020,Kristaps Porzingis,"$27,285,000",33466715.0
2020,Karl-Anthony Towns,"$27,285,000",33466715.0
2020,D'Angelo Russell,"$27,285,000",33466715.0
2020,Devin Booker,"$27,285,000",33466715.0
2020,Otto Porter,"$27,250,576",33424492.0
2020,Anthony Davis,"$27,093,019",33231238.0
2020,Andre Drummond,"$27,093,018",33231237.0
2020,Hassan Whiteside,"$27,093,018",33231237.0
2020,Bradley Beal,"$27,093,018",33231237.0
2020,Jrue Holiday,"$26,131,111",32051400.0
2020,LaMarcus Aldridge,"$26,000,000",31890584.0
2020,Giannis Antetokounmpo,"$25,842,697",31697642.0
2020,Steven Adams,"$25,842,697",31697642.0
2020,Marc Gasol,"$25,595,700",31394685.0
2020,Nicolas Batum,"$25,565,217",31357296.0
2020,Rudy Gobert,"$25,258,427",30981000.0
2020,Chandler Parsons,"$25,102,512",30789760.0
2020,Harrison Barnes,"$24,147,727",29618658.0
2020,Serge Ibaka,"$23,271,604",28544040.0
2020,Danilo Gallinari,"$22,615,559",27739361.0
2020,Victor Oladipo,"$21,000,000",25757779.0
2020,Tim Hardaway Jr,"$20,025,127",24562038.0
2020,Malcolm Brogdon,"$20,000,000",24531218.0
2020,Terry Rozier,"$19,894,737",24402107.0
2020,Aaron Gordon,"$19,863,636",24363960.0
2020,Zach LaVine,"$19,500,000",23917938.0
2020,Kent Bazemore,"$19,269,663",23635416.0
2020,Goran Dragic,"$19,217,900",23571925.0
2020,Jeff Teague,"$19,000,000",23304657.0
2020,Evan Turner,"$18,606,556",22822074.0
2020,Tristan Thompson,"$18,539,130",22739372.0
2020,Draymond Green,"$18,539,130",22739372.0
2020,Gary Harris,"$18,189,286",22310267.0
2020,Myles Turner,"$18,000,000",22078097.0
2020,Julius Randle,"$18,000,000",22078097.0
2020,Derrick Favors,"$17,650,000",21648800.0
2020,Andre Iguodala,"$17,185,185",21078676.0
2020,Evan Fournier,"$17,150,000",21035520.0
2020,Bismack Biyombo,"$17,000,000",20851536.0
2020,Bojan Bogdanovic,"$17,000,000",20851536.0
2020,Clint Capela,"$16,896,552",20724650.0
2020,Gorgui Dieng,"$16,229,213",19906118.0
2020,Ricky Rubio,"$16,200,000",19870287.0
2020,Jonas Valanciunas,"$16,000,000",19624975.0
2020,Brandon Knight,"$15,643,750",19188012.0
2020,Eric Bledsoe,"$15,625,000",19165014.0
2020,Kelly Oubre,"$15,625,000",19165014.0
2020,Dennis Schroeder,"$15,500,000",19011694.0
2020,Ian Mahinmi,"$15,450,051",18950429.0
2020,James Johnson,"$15,349,400",18826974.0
2020,Marcus Morris,"$15,000,000",18398414.0
2020,Bobby Portis,"$15,000,000",18398414.0
2020,Danny Green,"$14,634,147",17949673.0
2020,Rudy Gay,"$14,500,000",17785133.0
2020,Cody Zeller,"$14,471,910",17750679.0
2020,Eric Gordon,"$14,057,730",17242662.0
2020,Mason Plumlee,"$14,041,096",17222259.0
2020,JJ Redick,"$13,486,300",16541768.0
2020,Jordan Clarkson,"$13,437,500",16481912.0
2020,Dewayne Dedmon,"$13,333,334",16354146.0
2020,Solomon Hill,"$13,290,395",16301479.0
2020,Justise Winslow,"$13,000,000",15945292.0
2020,Thaddeus Young,"$12,900,000",15822636.0
2020,Will Barton,"$12,776,786",15671506.0
2020,Courtney Lee,"$12,759,670",15650512.0
2020,Larry Nance Jr,"$12,727,273",15610775.0
2020,Patrick Mills,"$12,678,571",15551040.0
2020,Kelly Olynyk,"$12,667,885",15537932.0
2020,Marcus Smart,"$12,553,571",15397719.0
2020,Terrence Ross,"$12,500,000",15332011.0
2020,Patrick Beverley,"$12,345,680",15142728.0
2020,Trevor Ariza,"$12,200,000",14964043.0
2020,Brook Lopez,"$12,093,024",14832830.0
2020,Jusuf Nurkic,"$12,000,000",14718731.0
2020,Cory Joseph,"$12,000,000",14718731.0
2020,Joe Ingles,"$11,454,546",14049698.0
2020,Tony Snell,"$11,392,857",13974033.0
2020,Robert Covington,"$11,301,219",13861633.0
2020,Meyers Leonard,"$11,286,515",13843598.0
2020,TJ Warren,"$11,060,000",13565764.0
2020,Moe Harkless,"$11,011,234",13505949.0
2020,Andre Roberson,"$10,740,740",13174172.0
